City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Pangkalanbuun,ID,80.76,light rain,-2.6833,111.6167,Grand Kecubung Hotel
257,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
261,Ignacio De La Llave,MX,84.2,few clouds,18.7167,-95.9833,Hotel Valeria
273,Mogadishu,SO,77.65,few clouds,2.0371,45.3438,Hotel Juba
275,Coachella,US,83.26,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
277,Tabou,CI,77.65,scattered clouds,4.423,-7.3528,hotêl doufoulougou
282,Lompoc,US,75.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
283,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
284,Sinnamary,GF,79.41,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
291,Tura,IN,76.37,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
297,Sibolga,ID,81.36,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
298,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
304,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
309,Tual,ID,84.15,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
312,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
314,Itanhaem,BR,81.25,overcast clouds,-24.1831,-46.7889,Prainha Residência Artística
316,Hamilton,US,75.72,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
320,Da Nang,VN,80.58,broken clouds,16.0678,108.2208,Sun River Hotel
327,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
328,Ouallam,NE,87.33,clear sky,14.3188,2.0866,
329,Ingraj Bazar,IN,80.83,overcast clouds,25.0,88.15,"Hotel Samrat, Malda"
332,Shingu,JP,77.99,clear sky,33.7333,135.9833,Shingu UI Hotel
336,Patiya,BD,79.12,broken clouds,22.2931,91.9762,R Village
337,Rockhampton,AU,89.49,broken clouds,-23.3833,150.5,Mercure Rockhampton
339,Champerico,GT,84.76,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
340,Inirida,CO,78.57,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
348,Tagusao,PH,84.49,overcast clouds,9.1924,117.8141,Toledo
353,Umm Kaddadah,SD,83.88,scattered clouds,13.6017,26.6876,
356,Sawakin,SD,82.65,clear sky,19.1059,37.3321,فندق الدويم
357,Takoradi,GH,77.76,overcast clouds,4.8845,-1.7554,Raybow International Hotel
359,Ahuimanu,US,83.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
361,Sao Raimundo Das Mangabeiras,BR,84.45,overcast clouds,-7.0219,-45.4811,Hotel Tropical
364,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
367,Palu,ID,87.35,broken clouds,-0.8917,119.8707,Hotel Santika Palu
